product_name,price_int,price_dec,seller,a-size-small href 2
Unisex 1000 Mile Original Sneaker,285,00,,
Women Elegant High Platform Block Heel Brogue Oxfords Closed-Toe Lace up Heeled Pumps Big Size,33,50,Jamron,
Women's Vegan 1461 Metallic Oxford,59,99,,
Women's Aiden Clever Oxford,29,70,,
Women's Women's Lennie-SJ Oxford,15,88,,
1925 Oxford,84,00,,
Women's Cordones Rope Shoe,69,90,TOMS,
Women's Wingtip Lace-Up Oxford Shoe,36,29,French Blu,
Asics Mexico 66 Sneaker,85,00,,
Postal 02A Women's Lace Up Metallic Boot,31,17,,
Women's Seaport Elise Oxford,99,95,,
Unisex Apollo Moc Fashion Sneaker.,16,21,native,
Women's Cora Fashion Sneaker,33,97,,
Lotus-01 Women D'Orsay Slip On Open Toe Extreme Cut Out Ankle Flat Bootie Sand,36,99,Beast Fashion,
Clearance Sale Shoes For Women ，Farjing Fashion Women Fish Mouth Platform High Heels Wedges Sandals Buckle Slope Shoes,6,99,Farjing,
Women's Trisha Oxford,149,69,Josef Seibel,
Buzz-01 Wingtip Lugged Sole Flatform Oxford Flats - Lace up Platform Loafers Shoes,13,50,RF ROOM OF FASHION,
Women's Clarissa Sandal,85,22,,
"Women's Dupree Patent Oxford,",99,00,,
"Women's Watervelt Leather Oxford,",89,00,,
Women's Women's Paisley Oxford,13,15,,
Women's Total Motion Envelope Flat,28,98,,
Bangi Handmade Women Leather Oxford Shoes,105,00,Bangi Shoes,
Women's Melissa Oxford,109,99,,
Unisex Mellows 6 Tie Oxfords,74,99,,
Womens Trigenic Flex,57,50,,
Women's Round Topline with Unique Handmade Flower Leather Shoes,24,99,Mordenmiss,
Womens OZE,237,00,,
Women's Bucksport Oxford,49,99,,
Women's Mandy-Gr Oxford,17,20,,
Women's Perforated Wingtip Brogues Vintage Snaps Closure Leather Flat Mary Jane Flats Shoes,31,99,U-lite,
Women's Equal Chop Oxford,62,99,Dr. Scholl's Shoes,
Women's Expedite Oxford,15,32,,
Women's Bota Suede Boot,59,95,TOMS,
Women's Women's Raven-Ek Fashion Sneaker,28,34,,
Women's Verwin Metallic Oxford Flat,51,00,,
Women's Padmora Oxford,62,40,,
Lady¡¯s Western Low Heel Shoes Classic Tassel Flats Round Toe,27,50,Smilun,
Carter-05 Women D'Orsay Slip On Pointy Cap Toe Extreme Cut Out Ankle Flat Bootie Grey,34,50,Beast Fashion,
Women's Simone-e Oxford,18,34,,
"Ulite Womens Pieced Cowhide Leather Upper, Lace Up Comfort Oxford Shoes,Featuring Soft Hony Hair at Vamp",49,99,U-lite,
"U.S. Polo Assn..(Women's Vivian-N Oxford,",32,96,,
Women's Women's Sandra-C Oxford,19,11,,
Clearance Sale Shoes For Women ，Farjing Women Vintage Out Shoes Round Toe Platform Flat Heel Buckle Strap Casual Shoes,15,99,Farjing,
Women's Springer Sneaker,22,99,,
Women's Bennett Oxford,56,07,,
Unisex Ramsey Zebra,119,99,,
Womens - Angie,38,50,,
Women's Erica Stud Oxford,59,99,,
Unisex 1461 PW Black Leather Lace up Shoe (11839001),111,09,,
Women's Jimi 2 Fashion Sneaker,34,53,,
Delias Women's Lace-up Wingtip Oxford Ballet Flat Shoe,11,95,dELiA*s,
Women's Aiden Clever Oxford,39,87,,
"1151 LS Womens Oxfords Shoes, Navy, Size - 42",104,95,,
Womens Shoe Faux Leather Plarform Lace Up Flat Oxfords,27,19,Ollio,
Women's Lenox Suede Ankle-High Fashion Sneaker,44,50,TOMS,
Women's Total Motion Abelle Laceup Oxford,64,99,,
Women's Wise Weslyn Oxford,139,95,Vionic,
Women's Dupree Oxford,92,07,,
Women's Eliza Oxford,69,99,,
Women's Seacoast Striped Oxford,27,97,,
Womens - Katharina,94,97,,
Women's Dupree Arcadia Oxford,74,99,,
Women's Celia 51,89,99,,
