product_name,price_int,price_dec,seller
Bobs Highlights Sand Sparkle Women's Slip on,34,99,
Women's Ez Flex 3.0-Beautify,30,98,
"Women's 23437_BBK,",30,05,
Women's Fabiana Ballet Flat,59,99,
Women's Cali Platform,20,99,Circus by Sam Edelman
Women's Wedding Flats Rhinestone Slip On Foldable Ballet Shoes,15,99,Meeshine
Australia Women's Dakota Slipper,63,85,
Women's Flats Shoes Ballet Yoga Dancing Simple Soft Suede Dress Shoes,15,99,ALBBG
Comfort Plus Women's Patent Carla Snip Toe Flat,29,99,Predictions
Women's 10007858 Natural Moroccan Crochet Alpargata Flat,43,99,TOMS
Shoes 18 New Womens Ballerina Ballet Flats Shoes Leopard & Solids 14 Colors,7,99,Shoes8teen
Thermoskin Night Time Relief for Plantar Fasciitis Plantar FXT,13,47,SoftWalk
Women's Sina 78 Pump,73,00,
Foldable Ballet Flats - Women's Portable Ballerina Roll up Shoes Pouch,9,99,Rose Cheeks
Women's Bikers-Ripples Mary Jane Flat Women's Bikers-Clocked Mary Jane Flat No Memory Foam,27,72,
Women Casual Rhinestone Glitter Mesh Slip On Ballet Flat Lightweigh,14,99,Walstar
"Women's Vega Ballet SL Flat,",34,97,
"Women's Adalene Ballet Flat,",24,48,
Women's Kata,179,00,Naot Footwear
Women's Sienna Flats,15,95,
Women's Bellwether Flat,19,99,
Ghille Lace up Pointy Toe Leg Tie Ballet Flat,7,63,Charles Albert
Celina Women's Sandals,90,00,Birkenstock
Chocolaticas Bon Voyage Women's Mary Jane Flat,55,99,Hot Chocolate Design
Women's Valera Slip-On Loafer,33,79,
"Women's Erica Mary Jane Flat,",31,14,
Women's Oakley Ballet Flat,22,50,NATURAL SOUL
Women's Analise Clever Flat,29,99,
